 14   0.800  -0.104   0.003   0.005  81.0  81.0  83.0  59.0  52.0  54.0   0.104  271.65 0 0 0 0 0 0
 15   0.850  -0.103   0.002   0.006  80.0  81.0  82.0  54.0  45.0  45.0   0.103  271.11 0 0 0 0 0 0
 16   0.900  -0.098   0.009   0.007  79.0  82.0  83.0  45.0  29.0  36.0   0.098  275.25 0 0 0 0 0 0
02 10 2023 12 20 00.000     1   297 00000000 01110000  11.6 1546.1 285.8  -3.2  -0.4   1.153  30.27     0     0 3  16
  1   0.150  -0.068   0.038  -0.003  94.0  95.0  95.0  58.0  61.0  62.0   0.078  299.20 0 0 0 0 0 0
  2   0.200  -0.075   0.041  -0.005  92.0  90.0  91.0  70.0  60.0  59.0   0.085  298.66 0 0 0 0 0 0
  3   0.250  -0.086   0.044  -0.006  88.0  87.0  90.0  68.0  60.0  60.0   0.097  297.10 0 0 0 0 0 0
  4   0.300  -0.094   0.047  -0.006  86.0  84.0  88.0  70.0  62.0  62.0   0.105  296.57 0 0 0 0 0 0
  5   0.350  -0.094   0.046  -0.006  85.0  82.0  86.0  67.0  62.0  64.0   0.105  296.08 0 0 0 0 0 0
  6   0.400  -0.099   0.045  -0.006  84.0  82.0  85.0  66.0  59.0  64.0   0.109  294.44 0 0 0 0 0 0
  7   0.450  -0.099   0.051  -0.005  81.0  82.0  84.0  64.0  60.0  61.0   0.111  297.26 0 0 0 0 0 0
  8   0.500  -0.099   0.057  -0.004  79.0  81.0  82.0  64.0  59.0  62.0   0.114  299.93 0 0 0 0 0 0
  9   0.550  -0.100   0.062  -0.005  81.0  81.0  81.0  64.0  59.0  60.0   0.118  301.80 0 0 0 0 0 0
 10   0.600  -0.102   0.066  -0.002  79.0  78.0  81.0  67.0  59.0  62.0   0.121  302.91 0 0 0 0 0 0
 11   0.650  -0.108   0.062  -0.001  79.0  78.0  80.0  66.0  61.0  61.0   0.125  299.86 0 0 0 0 0 0
 12   0.700  -0.113   0.065   0.000  78.0  78.0  79.0  66.0  64.0  61.0   0.130  299.91 0 0 0 0 0 0
 13   0.750  -0.115   0.063   0.000  78.0  77.0  78.0  64.0  62.0  58.0   0.131  298.72 0 0 0 0 0 0
 14   0.800  -0.116   0.060   0.001  76.0  76.0  79.0  66.0  60.0  58.0   0.131  297.35 0 0 0 0 0 0
 15   0.850  -0.117   0.063   0.003  77.0  77.0  77.0  62.0  56.0  53.0   0.133  298.30 0 0 0 0 0 0
