PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species,Surface_Area,Approximate.Dry.Weight.of.Whole.Sample,FSC.Events.per.ul,FSC.Events.per.slurry,FSC.Events_per_cm_2,FSC.Events_per_g_dry_weight
PRU V03 B,PRU 08,45,28,15,8803544.0,0.10,3,B,PR03,Porites_rus,3.74184,0.04455,1.2703252032520327,57164.63414634147,15277.145507649038,1283156.7709616493
PRU V03 C,PRU 07,45,28,254,5867607.5,1.69,3,C,PR03,Porites_rus,30.09414,0.2385,21.510840108401087,967987.804878049,32165.325371585597,4058649.0770568093
PRU V04 A,PRU 15,45,28,329,7211966.5,2.19,4,A,PR02,Porites_rus,41.75812,0.2511,27.86246612466125,1253810.9756097563,30025.560911500717,4993273.499043236
PRU V04 B,PRU 14,45,28,815,6151550.0,5.43,4,B,PR02,Porites_rus,44.06948,0.33525,69.0210027100271,3105945.1219512196,70478.37010900106,9264564.12215129
PRU V04 C,PRU 13,45,28,559,6061490.0,3.73,4,C,PR02,Porites_rus,30.47626,0.21988,47.340785907859086,2130335.365853659,69901.46972934536,9688627.277850004
PRU V05 A,PRU 18,45,28,278,7031314.5,1.85,5,A,PR02,Porites_rus,29.80056,0.150855,23.543360433604338,1059451.219512195,35551.3862663049,7022977.160267775
PRU V05 B,PRU 17,45,28,358,7166765.5,2.39,5,B,PR02,Porites_rus,29.726,0.2034,30.318428184281846,1364329.2682926832,45896.8333543929,6707616.854929613
PRU V05 C,PRU 16,45,28,484,7212409.5,3.23,5,C,PR02,Porites_rus,30.01958,0.1881,40.98915989159892,1844512.1951219516,61443.63762324295,9806019.11282271
PRU V06 A,PRU 24,45,28,59,6719308.0,0.39,6,A,PR07,Porites_rus,10.387,0.0918,4.996612466124662,224847.5609756098,21647.01655681234,2449319.8363356185
PRU V06 B,PRU 23,45,28,188,6501867.0,1.25,6,B,PR07,Porites_rus,31.60398,0.13275,15.921409214092142,716463.4146341464,22670.037591282693,5397087.869183777
PRU V06 C,PRU 22,45,28,502,6356407.0,3.35,6,C,PR07,Porites_rus,40.49526,0.26325,42.51355013550136,1913109.7560975612,47242.80708649756,7267273.527436131
PRU V07 A,PRU 27,45,28,329,6307799.5,2.19,7,A,PR04,Porites_rus,43.66872,0.333,27.86246612466125,1253810.9756097563,28711.878333272794,3765198.124954223
PRU V07 B,PRU 26,45,28,346,6817349.5,2.31,7,B,PR04,Porites_rus,34.98248,0.25875,29.302168021680217,1318597.5609756096,37693.08410883418,5096029.221161776
PRU V07 C,PRU 25,45,28,281,6963979.5,1.87,7,C,PR04,Porites_rus,51.03152,0.309275,23.797425474254744,1070884.1463414636,20984.75895567021,3462562.9176023393
PRU V08 A,PRU 36,45,28,249,6834741.5,1.66,8,A,PR02,Porites_rus,29.99162,0.137275,21.087398373983742,948932.9268292683,31639.935649667084,6912641.972895781
PRU V08 B,PRU 35,45,28,116,7592792.0,0.77,8,B,PR02,Porites_rus,28.2348,0.1089,9.823848238482386,442073.17073170736,15657.032128143544,4059441.4208604903
