Micro_Vial,Weight..mg.,μg.N,δ15N...........vs..AIR.,μg.C,δ13C............vs..VPDB.,HS,δ15N,δ13C,Vial_No_Only,Placement_Code,Pin_Number,Cage_Uncaged,Metabolomics_Vial,Genotype,Species,CowTagID,Δ15N,Δ13C,C_N_ratio,Percent_N,Percent_C,δ15N_T0,δ13C_T0,δ15N_T1_T0,δ13C_T1_T0,Δ15N_T1T0,Δ13C_T1T0,δ15N_T1_T0_host,δ15N_T1_T0_symb,δ13C_T1_T0_host,δ13C_T1_T0_symb,Percent_N15,Percent_C13
PAC 10,38.55,53.6,6.1,346.2,-15.8,symb,6.1,-15.8,10,PAC V19 A,19,A,PAC 10,PA22,Pocillopora acuta,V19,1.6000000000000005,0.6000000000000014,6.458955223880596,0.1390402075226978,0.8980544747081712,5.8,-15.8,0.2999999999999998,0,1.2000000000000002,0.6000000000000014,1.5,0.2999999999999998,0.6000000000000014,0,11.380597014925373,-4.563835932986713
PAC 37,27.8063,48.5,6.8,348.1,-17.4,symb,6.8,-17.4,37,PAC V20 A,20,A,PAC 37,PA11,Pocillopora acuta,V20,-0.5999999999999996,0.6999999999999993,7.177319587628866,0.17442090461514118,1.2518745751861988,5.3,-17,1.5,-0.3999999999999986,-0.8999999999999995,0.3000000000000007,0.6000000000000005,1.5,-0.09999999999999787,-0.3999999999999986,14.02061855670103,-4.998563631140477
PRU 34,37.49,53.8,5.7,334.3,-15.2,symb,5.7,-15.2,34,PRU V08 C,8,C,PRU 34,PR02,Porites rus,V8,0.39999999999999947,0.09999999999999964,6.213754646840149,0.1435049346492398,0.8917044545212057,6.2,-12.9,-0.5,-2.299999999999999,0.6999999999999993,1.299999999999999,0.1999999999999993,-0.5,-1,-2.299999999999999,10.594795539033457,-4.546814238707747
PRU 43,27.1674,58.2,5.6,373.7,-14.1,symb,5.6,-14.1,43,PRU V09 C,9,C,PRU 43,PR04,Porites rus,V9,0.20000000000000018,0.5999999999999996,6.420962199312714,0.21422734601029175,1.3755456907911687,6.4,-14.2,-0.8000000000000007,0.09999999999999964,1.3000000000000007,1.5,0.5,-0.8000000000000007,1.5999999999999996,0.09999999999999964,9.621993127147766,-3.7730800107037727
PRU 55,28.1832,9,5.1,97.2,-12.3,symb,5.1,-12.3,55,PRU V14 C,14,C,PRU 55,PR07,Porites rus,V14,NA,NA,10.8,0.0319339180788555,0.3448863152516393,5.8,-12.9,-0.7000000000000002,0.5999999999999996,NA,NA,NA,-0.7000000000000002,NA,0.5999999999999996,56.666666666666664,-12.654320987654321
PAC 60,17.8889,36.4,5.9,266.7,-15.8,symb,5.9,-15.8,60,PAC V18 A,18,A,PAC 60,PA22,Pocillopora acuta,V18,0.5999999999999996,0.3000000000000007,7.326923076923077,0.2034781344856308,1.4908686392120254,5.8,-15.8,0.10000000000000053,0,0.1999999999999993,0.3000000000000007,0.2999999999999998,0.10000000000000053,0.3000000000000007,0,16.208791208791208,-5.9242594675665545
PR03,18.8749,34.8,5.2,254,-13.5,symb,5.2,-13.5,NA,T0,T0,NA,NA,PR03,Porites rus,T0,-0.6000000000000005,-1.5999999999999996,7.298850574712644,0.18437183773159063,1.3457024937880466,5.2,-13.5,0,0,0,0,0,0,0,0,14.942528735632186,-5.31496062992126
PRU 16,20.0961,51.9,6.3,281,-15.3,symb,6.3,-15.3,16,PRU V05 C,5,C,PRU 16,PR02,Porites rus,V5,0.20000000000000018,-0.5999999999999996,5.414258188824663,0.2582590651917537,1.3982812585526547,6.2,-12.9,0.09999999999999964,-2.4000000000000004,0.5,0.5999999999999996,0.5999999999999996,0.09999999999999964,-1.8000000000000007,-2.4000000000000004,12.138728323699421,-5.444839857651246
PRU 60,19.7028,41.4,6,268.1,-13.8,symb,6,-13.8,60,PRU V13 C,13,C,PRU 60,PR04,Porites rus,V13,0.20000000000000018,0.20000000000000107,6.47584541062802,0.21012241914854743,1.3607203037131779,6.4,-14.2,-0.40000000000000036,0.3999999999999986,1.3000000000000007,1.1000000000000014,0.9000000000000004,-0.40000000000000036,1.5,0.3999999999999986,14.492753623188406,-5.147333084669899
PA13,5.3585,45.7,5.3,382.1,-17.3,symb,5.3,-17.3,NA,T0,T0,NA,NA,PA13,Pocillopora acuta,T0,0.5,0.3000000000000007,8.361050328227572,0.8528506111785015,7.130726882523095,5.3,-17.3,0,0,0,0,0,0,0,0,11.597374179431071,-4.52761057314839
PA18,10.0674,31.6,4.9,278.8,-16.8,symb,4.9,-16.8,NA,T0,T0,NA,NA,PA18,Pocillopora acuta,T0,0.8999999999999995,-0.09999999999999787,8.822784810126583,0.31388441901583336,2.7693346842283013,4.9,-16.8,0,0,0,0,0,0,0,0,15.50632911392405,-6.025824964131994
PA19,6.108,94.8,5.4,677.8,-16.7,symb,5.4,-16.7,NA,T0,T0,NA,NA,PA19,Pocillopora acuta,T0,0.2999999999999998,-0.1999999999999993,7.149789029535865,1.5520628683693516,11.096922069417158,5.4,-16.7,0,0,0,0,0,0,0,0,5.69620253164557,-2.463853644142815
PA21,5.8286,44.8,4.7,341.5,-19.3,symb,4.7,-19.3,NA,T0,T0,NA,NA,PA21,Pocillopora acuta,T0,0.8999999999999995,0,7.622767857142858,0.7686236832172392,5.859039906667125,4.7,-19.3,0,0,0,0,0,0,0,0,10.49107142857143,-5.651537335285505
PA22,4.4004,73.7,5.8,586.1,-15.8,symb,5.8,-15.8,NA,T0,T0,NA,NA,PA22,Pocillopora acuta,T0,0.40000000000000036,0,7.952510176390773,1.674847741114444,13.319243705117717,5.8,-15.8,0,0,0,0,0,0,0,0,7.869742198100406,-2.695785702098618
