"","CowTagID","Parameter","value"
"358","V17","shore_dist_m",18.5
"359","V17","pulse_pc1",0.441611902186974
"360","V17","pulse_pc2",-1.08402118101828
"361","V18","Maximum_TA",2389.34
"362","V18","Maximum_Phosphate_umolL",0.201475084
"363","V18","Maximum_Silicate_umolL",7.738904509
"364","V18","Maximum_NN_umolL",0.669156598
"365","V18","Maximum_NNP_umolL",3.32128710267717
"366","V18","Minimum_Salinity",36
"367","V18","Minimum_Temperature",28.61
"368","V18","Minimum_pH",7.93422031771756
"369","V18","Mean_TA",2352.62175
"370","V18","Mean_Phosphate_umolL",0.169997543
"371","V18","Mean_Silicate_umolL",2.779959394
"372","V18","Mean_NN_umolL",0.35287161675
"373","V18","Mean_NNP_umolL",1.9188272327567
"374","V18","Low_Tide_Mean_TA",2350.87985025
"375","V18","Low_Tide_Mean_Phosphate_umolL",0.219570761
"376","V18","Low_Tide_Mean_Silicate_umolL",4.491727679
"377","V18","Low_Tide_Mean_NN_umolL",0.55812437175
"378","V18","Low_Tide_Mean_NNP_umolL",2.3397807674378
"379","V18","CV_Salinity",0.00801188916747581
"380","V18","CV_Temperature",0.00669264713670736
"381","V18","CV_TA",0.0110077584024749
"382","V18","CV_pH",0.00647562245190951
"383","V18","CV_Phosphate_umolL",0.179044294142697
"384","V18","CV_Silicate_umolL",1.19120693664875
"385","V18","CV_NN_umolL",0.74652361025881
"386","V18","CV_Ammonia_umolL",1.62037590325557
"387","V18","Low_Tide_Mean_TA.1",2350.87985025
"388","V18","Low_Tide_Mean_Phosphate_umolL.1",0.219570761
"389","V18","Low_Tide_Mean_Silicate_umolL.1",4.491727679
"390","V18","Low_Tide_Mean_NN_umolL.1",0.55812437175
"391","V18","Low_Tide_Mean_NNP_umolL.1",2.3397807674378
"392","V18","pc1",7.84131596561048
"393","V18","pc2",-3.62493392977773
"394","V18","X._loss",33.68399533
"395","V18","lat",-17.54019697
"396","V18","lon",-149.899906
"397","V18","dist_to_seep_m",62.1424564678648
"398","V18","shore_dist_m",25
"399","V18","pulse_pc1",2.19669740601059
"400","V18","pulse_pc2",-2.37630120430567
"401","V19","Maximum_TA",2343.707945
"402","V19","Maximum_Phosphate_umolL",0.187056048
"403","V19","Maximum_Silicate_umolL",1.185435481
"404","V19","Maximum_NN_umolL",0.37666396
"405","V19","Maximum_NNP_umolL",2.01364224267156
"406","V19","Minimum_Salinity",36.52
"407","V19","Minimum_Temperature",28.63
"408","V19","Minimum_pH",7.9501934177493
"409","V19","Mean_TA",2332.9028455
"410","V19","Mean_Phosphate_umolL",0.14703175575
"411","V19","Mean_Silicate_umolL",0.9303102205
"412","V19","Mean_NN_umolL",0.1584244365
"413","V19","Mean_NNP_umolL",0.986372356972179
"414","V19","Low_Tide_Mean_TA",2336.63244825
"415","V19","Low_Tide_Mean_Phosphate_umolL",0.18132532925
"416","V19","Low_Tide_Mean_Silicate_umolL",1.078725416
"417","V19","Low_Tide_Mean_NN_umolL",0.2723366555
"418","V19","Low_Tide_Mean_NNP_umolL",1.4380288399306
"419","V19","CV_Salinity",0.0013648669657868
"420","V19","CV_Temperature",0.0111546907210099
"421","V19","CV_TA",0.0045345514795255
"422","V19","CV_pH",0.00549304973337128
"423","V19","CV_Phosphate_umolL",0.207626662779082
"424","V19","CV_Silicate_umolL",0.199730302601287
"425","V19","CV_NN_umolL",0.922973274274469
"426","V19","CV_Ammonia_umolL",1.034902546061
"427","V19","Low_Tide_Mean_TA.1",2336.63244825
"428","V19","Low_Tide_Mean_Phosphate_umolL.1",0.18132532925
"429","V19","Low_Tide_Mean_Silicate_umolL.1",1.078725416
"430","V19","Low_Tide_Mean_NN_umolL.1",0.2723366555
"431","V19","Low_Tide_Mean_NNP_umolL.1",1.4380288399306
"432","V19","pc1",-0.467572282891105
"433","V19","pc2",-4.03312779434688
"434","V19","X._loss",25.41082803
"435","V19","lat",-17.54050802
"436","V19","lon",-149.89978
"437","V19","dist_to_seep_m",52.8895347811233
"438","V19","shore_dist_m",45
"439","V19","pulse_pc1",-3.44704176020323
"440","V19","pulse_pc2",-0.269542295749387
"441","V2","Maximum_TA",2360.453386
"442","V2","Maximum_Phosphate_umolL",0.174559182
"443","V2","Maximum_Silicate_umolL",3.700915433
"444","V2","Maximum_NN_umolL",0.620575938
"445","V2","Maximum_NNP_umolL",3.61663852735865
"446","V2","Minimum_Salinity",36.42
"447","V2","Minimum_Temperature",28.43
"448","V2","Minimum_pH",7.92523676833072
"449","V2","Mean_TA",2346.84460025
"450","V2","Mean_Phosphate_umolL",0.16280667875
"451","V2","Mean_Silicate_umolL",1.911820119
"452","V2","Mean_NN_umolL",0.38461272925
"453","V2","Mean_NNP_umolL",2.36154197010749
"454","V2","Low_Tide_Mean_TA",2350.71627425
"455","V2","Low_Tide_Mean_Phosphate_umolL",0.1972792665
"456","V2","Low_Tide_Mean_Silicate_umolL",3.32593137175
"457","V2","Low_Tide_Mean_NN_umolL",0.65829689425
"458","V2","Low_Tide_Mean_NNP_umolL",3.23250664836125
"459","V2","CV_Salinity",0.00251180950272774
"460","V2","CV_Temperature",0.0135672059840807
"461","V2","CV_TA",0.00467879443614782
"462","V2","CV_pH",0.00659803065590996
"463","V2","CV_Phosphate_umolL",0.0773591266232828
"464","V2","CV_Silicate_umolL",0.647667199675308
"465","V2","CV_NN_umolL",0.430535010827964
"466","V2","CV_Ammonia_umolL",0.611355073313376
"467","V2","Low_Tide_Mean_TA.1",2350.71627425
"468","V2","Low_Tide_Mean_Phosphate_umolL.1",0.1972792665
"469","V2","Low_Tide_Mean_Silicate_umolL.1",3.32593137175
"470","V2","Low_Tide_Mean_NN_umolL.1",0.65829689425
